Employee,Monthly Income (£),Electricity Bill (£),Gas Bill (£),Netflix (£),Amazon Prime (£),Groceries (£),Transportation (£),Water Bill (£),Sky Sports (£),Other Expenses (£),Savings for Property (£),Monthly Outing (£)
Employee_34,4238.02,120.0,80.0,12.0,4.99,236.81,105.72,40.0,70.0,100.0,0.0,120.0
Employee_35,3244.11,120.0,80.0,12.0,4.99,277.29,168.82,40.0,0.0,0.0,0.0,0.0
Employee_36,2236.12,120.0,80.0,12.0,4.99,208.82,75.5,40.0,70.0,100.0,300.0,0.0
Employee_37,4556.1,120.0,80.0,12.0,4.99,240.93,62.9,40.0,70.0,100.0,300.0,0.0
Employee_38,2076.84,120.0,80.0,12.0,4.99,298.2,159.25,40.0,70.0,100.0,0.0,0.0
Employee_39,2575.02,120.0,80.0,12.0,4.99,227.01,133.96,40.0,0.0,0.0,300.0,0.0
Employee_40,3943.54,120.0,80.0,12.0,4.99,191.16,133.26,40.0,70.0,0.0,0.0,120.0
Employee_41,4215.63,120.0,80.0,12.0,4.99,179.42,75.98,40.0,0.0,100.0,300.0,120.0
Employee_42,5704.66,120.0,80.0,12.0,4.99,198.9,142.93,40.0,70.0,100.0,0.0,120.0
Employee_43,4722.35,120.0,80.0,12.0,4.99,289.38,81.89,40.0,70.0,0.0,0.0,0.0
Employee_44,3969.85,120.0,80.0,12.0,4.99,207.46,113.35,40.0,70.0,0.0,300.0,0.0
Employee_45,1482.92,120.275691164325,72.01800909249779,12.0,4.99,220.51858453740996,152.37693225293833,40.0,70.0,184.35508682340836,300.0,120.0
Employee_46,2590.3,120.0,80.0,12.0,4.99,228.87,101.75,40.0,70.0,0.0,300.0,0.0
Employee_47,1729.66,130.5229072510037,71.97451220208595,12.0,4.99,240.9057340355302,236.64340278719925,40.0,70.0,144.45372215847664,300.0,120.0
Employee_48,5635.29,120.0,80.0,12.0,4.99,289.49,199.34,40.0,70.0,0.0,0.0,0.0
Employee_49,1087.63,134.29093244108526,77.62097734081219,12.0,4.99,225.3560721612421,202.88058311687703,40.0,70.0,168.04932541831494,0.0,120.0
Employee_50,5374.41,120.0,80.0,12.0,4.99,151.19,110.66,40.0,0.0,100.0,300.0,120.0
